skill,horizon,MAE,MAPE%
Kubernetes,60,0.8625884087603324,7.845479694302393
Linux,1,0.7556923538363745,9.013448485392967
Linux,7,0.7210504476237457,8.466584710373384
Linux,14,0.7483340402715848,8.552583314026311
Linux,30,0.8113859679221759,9.632416114642153
Linux,60,0.8306372758557093,9.423129496292383
MLOps,1,0.7192943089963342,10.942612767637439
MLOps,7,0.7508349302429171,11.500617374741669
MLOps,14,0.7347098707498344,11.058990824492096
MLOps,30,0.7149790714905436,10.701135614539714
MLOps,60,0.8202489633977453,12.103553385044458
Mathematics,1,0.7114206356118966,11.887537141396951
Mathematics,7,0.7430049033428087,11.880365988884593
Mathematics,14,0.76053685259189,12.145264892838473
Mathematics,30,0.6949923769302996,11.492555391079854
Mathematics,60,0.7383730519229755,11.459233567700034
NLP,1,0.7200678208515482,10.84709852443294
NLP,7,0.7810318160202806,11.713484430574649
NLP,14,0.792821112394963,11.240963934269104
NLP,30,0.721485917817527,10.363532159231449
NLP,60,0.7948872812630313,11.495695951511005
PyTorch,1,0.866025071628145,8.908095100656952
PyTorch,7,0.8455502256532955,8.815382103753672
PyTorch,14,0.8103878872964457,8.078575317986086
PyTorch,30,0.7484131699920376,7.4197728873654905
PyTorch,60,0.8301892922657601,8.047765148556447
Python,1,0.9382394981893252,5.5433517488612125
Python,7,0.9184154326869017,5.428967647343169
Python,14,0.9016141793323282,5.2626480119881425
Python,30,0.9673264252890135,5.593808375545542
Python,60,1.0112685113658169,5.791437670924138
R,1,0.7677682736799581,10.58578658754311
R,7,0.8359611020571595,11.944424699336336
R,14,0.7802386080667219,11.185832815774887
R,30,0.817903154436318,11.575873742207163
R,60,0.8392506244705272,11.558890269154555
SQL,1,0.9974584789380143,8.083939987140065
SQL,7,0.8998938155997349,7.5010540280740665
SQL,14,0.9094196102285996,7.405944594593524
SQL,30,0.986575899390264,7.885361637556359
SQL,60,1.0398078888626225,8.783160949393773
Scala,1,0.7470164433975376,8.090942606013497
Scala,7,0.7583010440552029,8.116886062058532
Scala,14,0.7974804186792698,8.601454376569945
Scala,30,0.8264176195209835,9.019739144302404
Scala,60,0.8050658982339804,8.650728323743543
Spark,1,0.7473144046790063,334382.66968155856
Spark,7,0.7139965500020613,364132.979823543
Spark,14,0.785440030109701,419068.8049430576
Spark,30,0.8427326320365199,355974.6144136083
Spark,60,0.7698465974875534,405950.7325149749
Statistics,1,0.657609935940633,11.19234161855891
Statistics,7,0.686747467305209,11.812150296565079
Statistics,14,0.6914902665148244,11.985087833290246
Statistics,30,0.675619884840117,11.464298394829335
Statistics,60,0.6866708573256971,11.764100818866238
Tableau,1,0.8163535680042516,11.107294072066976
Tableau,7,0.7695278832436558,10.29840724795707
Tableau,14,0.8036425603676753,10.848364126325025
Tableau,30,0.8108823698798242,10.944600782153252
Tableau,60,0.8341840815299271,11.44439801171509
TensorFlow,1,0.8012419131592712,7.810644479364144
TensorFlow,7,0.8369279234476679,8.032006145554845
TensorFlow,14,0.8439354543160899,8.250621078846892
TensorFlow,30,0.862235208966113,8.0240283717336
TensorFlow,60,0.8271747369803216,7.66892627094971
